Attr_For,Font_Size,Font_Weight,Is_Text,Nearest_Color,Nearest_Bg_Color,Distance_From_Input,Class
0.0,0.0,0.4,1.0,black,black,0.0088,None
1.0,0.6818,0.0,1.0,grey,black,0.0314,None
0.0,0.5,0.0,1.0,grey,black,0.004,None
1.0,0.5,0.0,1.0,grey,black,0.0027,None
1.0,0.2105,0.0,1.0,grey,black,0.0031,None
1.0,0.4667,1.0,1.0,grey,black,0.0325,None
1.0,0.5833,1.0,1.0,grey,black,0.0172,None
0.0,0.5833,1.0,1.0,grey,black,1.0,None
1.0,0.5833,1.0,1.0,grey,black,0.0172,None
0.0,0.2105,0.0,1.0,grey,black,0.0027,None
1.0,0.5833,1.0,1.0,grey,black,0.0172,None
1.0,0.5833,1.0,1.0,grey,black,0.0172,None
1.0,0.5833,1.0,1.0,grey,black,0.0284,None
1.0,0.4667,1.0,1.0,grey,black,0.0325,None
1.0,0.5833,1.0,1.0,grey,black,0.0172,None
0.0,0.5833,1.0,1.0,grey,black,1.0,None
1.0,0.5833,1.0,1.0,grey,black,0.0172,None
1.0,0.5833,1.0,1.0,grey,black,0.0172,None
1.0,0.5833,1.0,1.0,grey,black,0.0172,None
0.0,1.0,0.3333,1.0,grey,black,1.0,None
1.0,0.5833,1.0,1.0,grey,black,0.0285,None
1.0,0.1667,0.0,1.0,red,black,0.0027,None
0.0,0.3333,0.0,1.0,grey,black,0.0051,None
1.0,0.2105,0.0,1.0,red,black,0.0031,None
1.0,0.6818,0.0,1.0,grey,black,0.0314,None
1.0,0.2105,0.0,1.0,grey,black,0.0028,None
1.0,0.2105,0.0,1.0,grey,black,0.0028,None
1.0,0.2105,0.0,1.0,grey,black,0.012,None
1.0,0.2105,0.0,1.0,grey,black,0.0028,None
1.0,0.1667,0.0,1.0,grey,black,0.0026,None
1.0,0.1667,0.0,1.0,grey,black,0.0026,None
1.0,0.1667,0.0,1.0,red,black,0.0027,None
0.0,0.5,0.0,1.0,grey,black,0.0036,None
1.0,0.2105,0.0,1.0,grey,black,0.0026,None
1.0,0.2105,0.0,1.0,grey,black,0.0027,None
1.0,0.1667,0.0,1.0,grey,black,0.0027,None
1.0,0.6818,0.0,1.0,grey,black,0.0603,None
1.0,0.1667,0.0,1.0,grey,black,0.0027,None
0.0,0.2105,0.0,1.0,grey,black,0.0043,None
1.0,0.1667,0.0,1.0,red,black,0.0027,None
1.0,0.2105,0.0,1.0,grey,black,0.0026,None
1.0,0.2105,0.0,1.0,grey,black,0.0027,None
0.0,0.8333,0.0,1.0,white,black,0.0178,None
0.0,0.5833,1.0,1.0,grey,black,1.0,None
1.0,0.5833,1.0,1.0,grey,black,0.0286,None
1.0,0.2857,0.0,1.0,grey,black,0.0212,None
1.0,0.4167,0.0,1.0,red,black,0.0148,None
1.0,0.4167,0.0,1.0,grey,black,0.0416,None
1.0,0.2857,0.0,1.0,red,black,0.0188,None
1.0,0.2857,0.0,1.0,red,black,0.0176,None
1.0,0.0,0.0,1.0,grey,black,0.0263,None
