Attr_For,Font_Size,Font_Weight,Is_Text,Nearest_Color,Nearest_Bg_Color,Distance_From_Input,Class
0.0,0.25,0.0,1.0,red,black,0.2492,ErrorMessage
0.0,0.1053,0.0,1.0,red,black,0.0047,ErrorMessage
0.0,0.1053,0.0,1.0,red,black,0.0047,ErrorMessage
0.0,0.1053,0.0,1.0,red,black,0.0047,ErrorMessage
0.0,0.1667,0.0,1.0,red,black,0.0124,ErrorMessage
0.0,0.1053,0.0,1.0,red,black,0.0047,ErrorMessage
0.0,0.0556,0.0,1.0,red,black,0.0041,ErrorMessage
0.0,0.5417,0.0,1.0,red,black,0.0357,ErrorMessage
0.0,0.0,0.0,1.0,red,black,0.0131,ErrorMessage
0.0,0.0,0.0,1.0,red,black,0.0036,ErrorMessage
0.0,0.0,0.0,1.0,red,black,0.0104,ErrorMessage
0.0,0.0,0.0,1.0,red,black,0.0182,ErrorMessage
0.0,0.0,0.0,1.0,red,black,0.0126,ErrorMessage
0.0,0.0,0.0,1.0,red,black,0.0118,ErrorMessage
0.0,0.0,0.0,1.0,red,black,0.0126,ErrorMessage
0.0,0.0,0.0,1.0,red,black,0.0104,ErrorMessage
0.0,0.5833,0.0,1.0,red,black,0.0371,ErrorMessage
0.0,0.5833,0.0,1.0,red,black,0.0233,ErrorMessage
0.0,0.5833,0.0,1.0,red,black,0.0234,ErrorMessage
0.0,0.5833,0.0,1.0,red,black,0.0325,ErrorMessage
0.0,0.5833,0.0,1.0,red,black,0.0434,ErrorMessage
0.0,0.5833,0.0,1.0,red,black,0.0412,ErrorMessage
0.0,0.5833,0.0,1.0,red,black,0.0233,ErrorMessage
0.0,0.5833,0.0,1.0,red,black,0.0371,ErrorMessage
0.0,0.2105,0.0,1.0,red,black,0.0293,ErrorMessage
0.0,0.5833,0.0,1.0,red,black,0.0233,ErrorMessage
0.0,0.1053,0.0,1.0,red,black,0.0122,ErrorMessage
0.0,0.1053,0.0,1.0,red,black,0.0122,ErrorMessage
0.0,0.1176,0.0,1.0,red,black,0.01,ErrorMessage
0.0,0.1176,0.0,1.0,red,black,0.006,ErrorMessage
0.0,0.1176,0.0,1.0,red,black,0.0081,ErrorMessage
0.0,0.1176,0.0,1.0,red,black,0.006,ErrorMessage
0.0,0.1176,0.0,1.0,red,black,0.0185,ErrorMessage
0.0,0.1176,0.0,1.0,red,black,0.006,ErrorMessage
0.0,0.1176,0.0,1.0,red,black,0.0153,ErrorMessage
0.0,0.1176,0.0,1.0,red,black,0.0309,ErrorMessage
0.0,0.1176,0.0,1.0,red,black,0.0035,ErrorMessage
0.0,0.1176,0.0,1.0,red,black,0.025,ErrorMessage
0.0,0.1176,0.0,1.0,red,black,0.006,ErrorMessage
0.0,0.1176,0.0,1.0,red,black,0.0156,ErrorMessage
0.0,0.1176,0.0,1.0,red,black,0.006,ErrorMessage
0.0,0.1176,0.0,1.0,red,black,0.0188,ErrorMessage
0.0,0.1176,0.0,1.0,red,black,0.0282,ErrorMessage
0.0,0.1176,0.0,1.0,red,black,0.006,ErrorMessage
0.0,0.1176,0.0,1.0,red,black,0.0219,ErrorMessage
0.0,0.1176,0.0,1.0,red,black,0.006,ErrorMessage
0.0,0.1176,0.0,1.0,red,black,0.0131,ErrorMessage
0.0,0.1667,0.0,1.0,red,black,0.0091,ErrorMessage
0.0,0.0556,0.0,1.0,red,black,0.0041,ErrorMessage
0.0,0.1667,0.0,1.0,red,black,0.006,ErrorMessage
0.0,0.0556,0.0,1.0,red,black,0.0041,ErrorMessage
0.0,0.2105,0.0,1.0,red,black,0.0257,ErrorMessage
0.0,0.5833,0.0,1.0,red,black,0.0233,ErrorMessage
0.0,0.0,0.0,1.0,red,black,0.0119,ErrorMessage
0.0,0.2857,0.0,1.0,red,black,0.1145,ErrorMessage
0.0,0.3611,0.0,1.0,red,black,0.0228,ErrorMessage
0.0,0.0,0.0,1.0,red,black,0.0325,ErrorMessage
0.0,0.2857,0.0,1.0,red,black,0.0483,ErrorMessage
0.0,0.0,0.0,1.0,red,black,0.0325,ErrorMessage
0.0,0.0,0.0,1.0,red,black,0.028999999999999998,ErrorMessage
0.0,0.0,0.0,1.0,red,black,0.1129,ErrorMessage
0.0,0.0,0.0,1.0,red,black,0.0674,ErrorMessage
0.0,0.0769,0.0,1.0,red,black,0.1735,ErrorMessage
0.0,0.2857,0.0,1.0,red,black,0.0394,ErrorMessage
0.0,0.2857,0.0,1.0,red,black,0.1405,ErrorMessage
0.0,0.1875,1.0,1.0,red,black,0.1908,ErrorMessage
0.0,0.0,0.0,1.0,red,white,0.0634,ErrorMessage
0.0,0.2857,0.0,1.0,red,black,0.1052,ErrorMessage
0.0,0.0,0.0,1.0,red,black,0.027000000000000003,ErrorMessage
0.0,0.0,0.0,1.0,red,black,0.027000000000000003,ErrorMessage
